Author,Name,ID,Model Card,Provider Terms,Input Modalities,Output Modalities,EOL Date,Data Retention Period (Days),Data Used To Train Models?,Inference Regions,Release Status,Stack Version
Jina,CLIP v2,jina-clip-v2,[jina-clip-v2](https://jina.ai/models/jina-clip-v2/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),"Text, Image",Embedding,,0,No,"US, SG, EU",Generally Available,9.3
Elastic,ELSER v2,elser_model_2,[ELSER docs](https://www.elastic.co/docs/explore-analyze/machine-learning/nlp/ml-nlp-elser),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,"US, SG, EU",Generally Available,9.1
Jina,Embeddings v3,jina-embeddings-v3,[jina-embeddings-v3](https://jina.ai/models/jina-embeddings-v3/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,"US, SG, EU",Generally Available,9.3
Jina,Embeddings v5 Omni Nano,jina-embeddings-v5-omni-nano,[jina-embeddings-v5-omni-nano](https://jina.ai/models/jina-embeddings-v5-omni-nano/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),"Text, Image, Video, Audio, File",Embedding,,0,No,"US, SG, EU",Generally Available,9.4
Jina,Embeddings v5 Omni Small,jina-embeddings-v5-omni-small,[jina-embeddings-v5-omni-small](https://jina.ai/models/jina-embeddings-v5-omni-small/),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),"Text, Image, Video, Audio, File",Embedding,,0,No,"US, SG, EU",Generally Available,9.4
Jina,Embeddings v5 Text Nano,jina-embeddings-v5-text-nano,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,"US, SG, EU",Generally Available,9.3
Jina,Embeddings v5 Text Small,jina-embeddings-v5-text-small,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),[Elastic Terms](https://www.elastic.co/legal/terms-of-use),Text,Embedding,,0,No,"US, SG, EU",Generally Available,9.3
Google,Gemini Embedding 1,google-gemini-embedding-001,[Gemini Embedding 001](https://deepmind.google/research/publications/157741/),[Google terms](https://cloud.google.com/terms),Text,Embedding,,55 days,No,US,Generally Available,9.3
Microsoft,Multilingual E5 Large,microsoft-multilingual-e5-large,[Multilingual E5 Large System Card](https://huggingface.co/intfloat/e5-large-v2),DeepInfra terms,Text,Embedding,,0,No,US,Generally Available,9.3
OpenAI,Text Embedding 003 Large,openai-text-embedding-3-large,[Text Embedding 003 Large](https://platform.openai.com/docs/models/text-embedding-3-large),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),Text,Text,,Unknown,No,US,Generally Available,9.3
OpenAI,Text Embedding 003 Small,openai-text-embedding-3-small,[Text Embedding 003 Small](https://platform.openai.com/docs/models/text-embedding-3-small),[OpenAI terms](https://openai.com/en-GB/policies/row-terms-of-use/),Text,Text,,Unknown,No,US,Generally Available,9.3
